created_at,text
2017-11-29,"Who knew dog sledding was so popular? Thanks to Marion Moeller for pics of ""Team Terror"" with her Parson Russell Terriers Mila and Spyder. Plus, Heather sent Global News Morning this shot of her border collie team of Quinn and Diesel https://t.co/JY8iwF2SSJ"
2017-11-29,Global News Morning is live in 30 minutes #NB. Here's a look at the top stories in your region from 6 to 9am: https://t.co/XiA8MKb3rm
2017-11-29,How did your city fare? https://t.co/E9RuTh2gPs
2017-11-29,Libya TV is rebuking a CNN investigation containing video showing at least 10 people being auctioned off like slaves for around $400 each in the country. https://t.co/JtKzsM8bdP
2017-11-29,Actor James Woods shared details of a robbery that he witnessed at the Bellagio in Las Vegas on Twitter. https://t.co/3Gjzp8rXH9
2017-11-29,Facebook will roll out a software to countries beyond the U.S. that scans the text of Facebook posts and comments for phrases that could be signs of an impending suicide. https://t.co/3n8p4v4LE6
2017-11-29,"If you're on a joyride in a stolen Ferrari, make sure you have money to pay for gas. https://t.co/epcTpsqiQi"
2017-11-29,"Halifax's Irving Shipbuilding has been tasked with building the winning design 
https://t.co/doVabVbMC4"
2017-11-28,"After the recent missile launch, Canada has invited foreign ministers to help find a diplomatic solution to the North Korea crisis. https://t.co/EeO9Gii4cN"
2017-11-28,"""Even the creator of it says it should be banned. He regrets inventing the procedure."" https://t.co/eYvaI0u5R4"
2017-11-28,The lawyer of accused murderer Christopher Garnier brought up the idea that erotic asphyxiation may have played a role in the death of a member of the Truro Police Service. https://t.co/m2bR3Bj5tc
2017-11-28,"The province's two seats on the board have sat empty since the board was created in 2015 
https://t.co/u141EQ9h5P"
2017-11-28,The meetings are joyous and heartbreaking at the same time. https://t.co/GxX3Oq3Zms
2017-11-28,"“I want the world to know that Down syndrome does not define me."" https://t.co/ZV9QLj9WOW"
2017-11-28,"“Sometimes an apology is enough, but an apology that doesn’t have action behind it becomes meaningless,” one person affected by the ""gay purge"" told @globalnews. https://t.co/CfM9Ig95UV"
2017-11-28,"The donation box that was stolen was meant to help the family of a woman who was struck by a car 
https://t.co/hbJgssgg7V"
2017-11-28,.@pamfoundation is once again asking @KimKardashian to abandon using products made from real animal fur. https://t.co/DInIXup5qQ
2017-11-28,"Moncton Headstart is collecting toy donations for families in crisis through its outreach program called Toyland
https://t.co/pisV2hZ6iv"
2017-11-28,It's going to be all-out war for Season 5 of @HistoryVikings #Vikings https://t.co/PbDwlNFBgZ
2017-11-28,"Which would be more difficult for you to give up? A Wi-Fi connection or sex?
 https://t.co/nhLf9kI4mB"
2017-11-28,"""I’ve been looking forward to this moment for the past four years."" https://t.co/8S5bVrr63N"
2017-11-28,All the possible dresses for the next royal wedding https://t.co/Qq4ubVdDDI
2017-11-28,"“Cybersecurity is the greatest step forward. It’s the future of everything.” #NewBrunswick 
https://t.co/rwH37QONtA"
2017-11-28,Watch Prince Harry and Meghan Markle's engagement interview outtakes https://t.co/xb0ODwRaGs
2017-11-28,#Halifax RCMP issue warning after Christmas gifts stolen in smash and grab https://t.co/sH4h2wvbvH
2017-11-28,More fodder for what to expect from the new stress test coming into effect Jan. 1 https://t.co/VcMOhVjrTA
2017-11-28,"""Politicizing these genuine American heroes is an insult to their sacrifice,"" Sen. John McCain said. https://t.co/cX6M61cXFP"
